system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,EVI,NDRE,NDVI,NDWI,SAVI,VH,VH_VV,VV,VV_contrast,VV_ent,VV_var,agbd,agbd_se,elevation,slope,.geo
10,0.2613,0.146,0.0383,0.0635,0.055233333,0.1163,0.223575,0.25855,0.268225,0.287625,0.40573707757873156,0.39509785,0.65848255,0.01307779,0.38798261309348925,-13.95690519523586,-6.73249726979966,-7.2244079254362,106.89484126984127,4.111326074309198,213.89308941171657,17.663143157958984,17.134681701660156,1105,4.7215676,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9540665246883,10.27930950676917]}"
11,0.24645,0.13393334,0.03705,0.06396667,0.0506,0.117233336,0.23948333,0.280325,0.2903,0.31408334,0.45534851522020103,0.42466876,0.70313877,0.08169539,0.42757761090017177,-16.481991634795087,-6.188589692465053,-10.293401942330034,26.823412698412703,3.9202887030205034,57.4910674918101,15.293417930603027,17.135046005249023,1145,18.343212,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95698604936169,10.27930950676917]}"
12,0.212375,0.112725,0.036833335,0.0609,0.047825,0.105575,0.2283,0.2681,0.2755,0.29275,0.44253420736892807,0.4459096,0.7041676,0.12938765,0.41479670509549127,-14.2335139427071,-5.996933469606299,-8.236580473100801,187.32638888888889,4.1144003161370275,141.1594102340041,65.916771,17.127042770385742,1165,11.972822,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96349883517155,10.27930950676917]}"
13,0.22975,0.1192,0.0339,0.05926,0.04573,0.11025,0.244975,0.29,0.3035,0.322,0.4868618888833279,0.46706948,0.7381096,0.13830283,0.4553006834986317,-14.514961499157051,-5.967951077962917,-8.547010421194134,92.88095238095241,4.093575498160488,124.24134503339337,34.495979,17.134248733520508,1173,15.49083,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96035473167713,10.2795340855902]}"
14,0.2399,0.1206,0.0345,0.0652,0.048,0.117775,0.25885,0.29835,0.3009,0.32755,0.47532234672616225,0.4373918,0.7248495,0.11279589,0.446872437381882,-13.356442622778264,-6.397141401893375,-6.959301220884889,117.24007936507937,4.245781034973421,195.43580916163774,65.833359,17.127445220947266,1093,15.439757,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.93879516485826,10.27975866441123]}"
15,0.2427,0.11625,0.0328,0.0709,0.042,0.12625,0.28975,0.33105,0.34385,0.361,0.5590435814000041,0.46288022,0.7822988,0.17244905,0.5111192505246516,-14.03814510628518,-6.483129587145159,-7.555015519140021,281.00297619047615,4.238216928836357,549.0038255464497,10.492897033691406,17.139184951782227,1093,13.205101,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9412655318896,10.27975866441123]}"
16,0.246825,0.14576666,0.039225,0.06403334,0.058933333,0.1145,0.2123,0.247,0.2606,0.280425,0.38194083330080675,0.38949612,0.6311287,0.027146881,0.36911250566407466,-17.101417365843314,-5.942355662886721,-11.159061702956594,39.53075396825396,3.8127532700465,42.1391241102865,13.732422828674316,17.137243270874023,1145,14.8684225,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95676147054066,10.27975866441123]}"
17,0.190375,0.10655,0.03586,0.053883333,0.0459,0.0876,0.18195,0.2157,0.20784,0.2411,0.33340470029390046,0.40698618,0.6382123,0.043858208,0.32227292934755636,-16.464712779358553,-6.003224426748094,-10.46148835261046,126.43551587301589,4.174265849677553,191.6428443483819,71.42776489257812,17.126604080200195,1178,14.801335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95990557403508,10.27975866441123]}"
18,0.19386667,0.09893333,0.02888,0.04984,0.034425,0.09065,0.2079,0.2512,0.25853333,0.2772,0.44876114973976894,0.4807885,0.76498365,0.14294133,0.4239346229155794,-15.805467282968706,-5.919939734578353,-9.885527548390353,88.33134920634922,4.135070026967318,180.02380558705954,71.42776489257812,17.126604080200195,1178,14.801335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.96013015285611,10.27975866441123]}"
19,0.20555,0.1102,0.0327,0.0556,0.043,0.09855,0.2105,0.2447,0.26475,0.27145,0.4339530297007563,0.45747316,0.7205524,0.12587711,0.4117920165389882,-12.652623061805079,-6.412159305106955,-6.240463756698124,79.70337301587301,4.072494239833436,137.88695889234077,79.26272583007812,17.127084732055664,1178,18.099588,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.9630496775295,10.27975866441123]}"
